srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
59.166.0.7,41493,149.171.126.9,9860,tcp,FIN,0.06289299999999999,2854,29218,31,29,7,17,-,355142.8438,3639196.5,46,48,255,255,1934501872,4115619046,62,609,0,0,94.004196,90.945929,1421945163,1421945163,1.3904889999999999,1.326532,0.000691,0.000542,0.000149,0,0,0,0,0,4,14,9,4,1,1,1
59.166.0.2,59269,149.171.126.0,6881,tcp,FIN,8.138341,32674,1510488,31,29,51,536,-,32064.51953,1483549.5,584,1176,255,255,973330003,978035424,56,1284,0,0,5527.498636,3892.801423,1421944904,1421944912,13.958886999999999,6.92585,0.000607,0.000465,0.00014199999999999998,0,0,0,0,0,10,12,8,10,8,6,8
59.166.0.5,62330,149.171.126.1,22,tcp,FIN,0.015758,12368,13132,31,29,17,17,-,6187079.5,6568854.0,68,68,255,255,1528812348,3674510482,182,193,0,0,15.301504999999999,0.0,1421945012,1421945012,0.23519400000000001,0.22456700000000002,0.000704,0.0005740000000000001,0.00013000000000000002,0,0,0,0,0,13,14,15,13,5,5,5
59.166.0.0,52724,149.171.126.5,25,tcp,FIN,0.810717,37180,3380,31,29,18,8,smtp,359829.625,32563.76758,52,42,255,255,1804467114,4009680006,715,80,0,0,1521.752195,50.026383,1421953911,1421953911,15.889588,19.762098,0.0006129999999999999,0.00046699999999999997,0.000146,0,0,0,0,0,1,1,7,4,1,1,1
59.166.0.1,1151,149.171.126.9,111,udp,CON,0.004884,568,304,31,29,0,0,-,697788.6875,373464.375,4,4,0,0,0,0,142,76,0,0,1.7682930000000001,1.540314,1421947380,1421947380,1.271333,1.097667,0.0,0.0,0.0,0,0,0,0,0,4,7,4,3,1,1,2
59.166.0.1,32849,149.171.126.6,53,udp,CON,0.001088,146,178,31,29,0,0,dns,536764.6875,654411.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421949478,1421949478,0.011000000000000001,0.005,0.0,0.0,0.0,0,0,0,0,0,2,3,2,3,1,1,2
59.166.0.1,59919,149.171.126.0,53,udp,CON,0.001145,146,178,31,29,0,0,dns,510043.6875,621834.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421945158,1421945158,0.009000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,4,4,10,4,4,3,3
59.166.0.5,16898,149.171.126.4,80,tcp,FIN,1.45266,1684,10168,31,29,3,5,http,8613.165039,52890.5625,14,18,255,255,2317892610,172420391,120,565,0,0,9232.418539,8087.819836,1421941069,1421941071,111.71515600000001,85.418059,0.000704,0.0005480000000000001,0.000156,0,0,0,0,0,5,3,4,2,2,1,1
59.166.0.9,40714,149.171.126.7,45655,udp,CON,1.022169,536,304,31,29,0,0,-,3146.250732,1784.440796,4,4,0,0,0,0,134,76,0,0,355.429094,354.04506200000003,1421945198,1421945199,251.33632799999998,250.35467200000002,0.0,0.0,0.0,0,0,0,0,0,25,9,6,21,3,3,5
59.166.0.2,26022,149.171.126.2,143,tcp,FIN,0.035033,7806,14704,31,29,30,32,-,1768161.5,3331259.25,122,126,255,255,457531242,458550499,64,117,0,0,18.265869,15.699101,1421941993,1421941993,0.286554,0.276072,0.000653,0.0005200000000000001,0.000133,0,0,0,0,0,3,5,2,2,1,1,2
59.166.0.1,21016,149.171.126.1,1067,tcp,FIN,0.39433,4824,3080,31,29,7,7,-,94377.80469,60416.40234,28,30,255,255,2368195652,2509242896,172,103,0,0,806.303438,20.410726999999998,1421950984,1421950984,14.592629999999998,13.577275,0.000724,0.000584,0.00014,0,0,0,0,0,4,10,6,4,1,1,4
59.166.0.2,19992,149.171.126.1,111,udp,CON,0.330227,568,312,31,29,0,0,-,10320.17383,5668.828125,4,4,0,0,0,0,142,78,0,0,148.502094,136.581453,1421945383,1421945384,105.01433600000001,96.58266400000001,0.0,0.0,0.0,0,0,0,0,0,15,8,7,5,2,2,2
149.171.126.18,1043,175.45.176.1,53,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1421932225,1421932225,0.008,0.0,0.0,0.0,0.0,0,0,0,0,0,6,6,3,3,3,3,3
59.166.0.1,22915,149.171.126.0,21038,tcp,FIN,0.012715,2766,24114,31,29,7,16,-,1701297.75,14842313.0,44,46,255,255,759944018,778927986,63,524,0,0,0.0,16.489453,1421931031,1421931031,0.288698,0.270289,0.0006799999999999999,0.0005480000000000001,0.000132,0,0,0,0,0,6,1,1,7,1,1,1
59.166.0.5,29460,149.171.126.6,55163,tcp,FIN,0.070886,4014,57836,31,29,7,28,-,446350.4688,6433992.5,68,70,255,255,4161367265,2032544848,59,826,0,0,0.0,65.647598,1421937826,1421937826,1.053343,1.02042,0.00064,0.00047300000000000006,0.000167,0,0,0,0,0,2,2,2,4,1,1,1
149.171.126.2,25,59.166.0.4,5908,tcp,FIN,0.513785,3060,37006,29,31,6,17,-,46322.87891,564220.4375,36,48,255,255,3428789887,3430715533,85,771,0,0,35.843796999999995,1042.503487,1421954275,1421954275,14.679571,10.919277000000001,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,1,1
59.166.0.1,39017,149.171.126.1,53,udp,CON,0.001111,130,162,31,29,0,0,dns,468046.8125,583258.375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421939357,1421939357,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,2,4,3,3,1,1,1
59.166.0.6,56723,149.171.126.7,53,udp,CON,0.001039,146,178,31,29,0,0,dns,562078.9375,685274.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421943252,1421943252,0.01,0.006,0.0,0.0,0.0,0,0,0,0,0,1,1,3,1,1,1,1
59.166.0.3,44717,149.171.126.2,111,udp,CON,0.087138,568,304,31,29,0,0,-,39110.37891,20932.31445,4,4,0,0,0,0,142,76,0,0,33.894457,33.407969,1421943199,1421943199,23.974,23.625,0.0,0.0,0.0,0,0,0,0,0,11,8,5,5,1,1,2
59.166.0.9,26291,149.171.126.7,53,udp,CON,0.001119,146,178,31,29,0,0,-,521894.5313,636282.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421934546,1421934546,0.018000000000000002,0.012,0.0,0.0,0.0,0,0,0,0,0,16,5,2,2,1,1,1
175.45.176.0,53756,149.171.126.13,520,udp,INT,1.2e-05,1098,0,254,0,0,0,-,366000000.0,0.0,2,0,0,0,0,0,549,0,0,0,0.0,0.0,1421930457,1421930457,0.012,0.0,0.0,0.0,0.0,0,2,0,0,0,9,9,3,3,3,1,3
59.166.0.1,29216,149.171.126.4,55057,tcp,FIN,0.012838999999999998,2438,19918,31,29,7,13,-,1479243.0,12101254.0,38,40,255,255,1705438201,3870916714,64,498,0,0,0.0,18.415473000000002,1421948649,1421948649,0.338514,0.315744,0.000653,0.000521,0.000132,0,0,0,0,0,8,1,1,4,1,1,1
59.166.0.7,31805,149.171.126.4,80,tcp,FIN,1.00616,1684,10168,31,29,3,5,http,12435.39746,76361.60938,14,18,255,255,1206777380,1207772218,120,565,1,3924,8765.218209,7674.517864,1421941282,1421941283,77.365998,59.154529000000004,0.000648,0.00053,0.000118,0,0,1,0,0,1,1,3,5,1,1,3
59.166.0.5,52396,149.171.126.7,30655,tcp,FIN,0.025802999999999996,2958,33044,31,29,7,18,-,898190.125,10040383.0,48,50,255,255,3887102615,1770315946,62,661,0,0,0.0,34.273286999999996,1421929407,1421929407,0.541957,0.5143270000000001,0.000729,0.000597,0.000132,0,0,0,0,0,4,4,1,2,1,1,1
59.166.0.0,1710,149.171.126.3,21,tcp,FIN,1.4809729999999999,2934,3742,31,29,11,15,ftp,15546.53613,19841.00977,52,54,255,255,440780978,2696200871,56,69,0,0,2089.196292,67.353734,1421946535,1421946537,29.032411,27.933546999999997,0.000601,0.000493,0.00010800000000000001,0,0,0,0,0,2,1,6,2,1,1,2
59.166.0.7,28325,149.171.126.9,26343,tcp,FIN,0.020887,2766,27384,31,29,7,16,-,1035668.125,10260545.0,44,46,255,255,372205646,380945710,63,595,0,0,29.788843,28.286037,1421933167,1421933167,0.478047,0.453333,0.000607,0.00048300000000000003,0.000124,0,0,0,0,0,4,17,1,3,1,1,1
59.166.0.7,7296,149.171.126.2,6881,tcp,FIN,1.509847,12830,548216,31,29,21,197,-,67678.375,2898121.5,222,438,255,255,718313297,723622048,58,1252,0,0,1941.33582,1380.52369,1421939975,1421939977,6.830285000000001,3.453982,0.000571,0.000454,0.000117,0,0,0,0,0,12,17,3,4,2,1,2
59.166.0.8,6615,149.171.126.3,53,udp,CON,0.001092,146,178,31,29,0,0,dns,534798.5,652014.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421930395,1421930395,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,2,2,5,1,1,1,1
59.166.0.3,46219,149.171.126.6,32866,tcp,FIN,0.025199,2542,19242,31,29,7,13,-,787015.375,5956109.5,40,40,255,255,2857271897,2869995443,64,481,0,0,0.0,1.241272,1421944589,1421944589,0.637821,0.633846,0.000591,0.000475,0.00011599999999999999,0,0,0,0,0,6,5,2,3,1,1,1
59.166.0.9,27975,149.171.126.3,5190,tcp,FIN,0.004548,1064,2260,31,29,4,4,-,1716798.5,3644678.75,12,12,255,255,2889637980,740378939,89,188,0,0,18.931193,0.434745,1421955681,1421955681,0.38127300000000003,0.354727,0.000796,0.0006360000000000001,0.00016,0,0,0,0,0,17,9,4,2,1,1,1
59.166.0.6,46272,149.171.126.5,5190,tcp,FIN,0.004432,1036,2262,31,29,4,4,-,1714801.375,3743682.0,12,12,255,255,81066732,2230974826,86,189,0,0,18.505142000000003,0.405246,1421944956,1421944956,0.369,0.342273,0.000817,0.000656,0.000161,0,0,0,0,0,14,10,19,14,6,3,3
59.166.0.5,26651,149.171.126.2,9469,tcp,FIN,0.9054190000000001,8928,320,31,29,4,1,ftp-data,73256.69531,2359.128662,14,6,255,255,506094279,2320209194,638,53,0,0,6408.4661,272.98325,1421950984,1421950985,69.64761800000001,180.94759399999998,0.0007019999999999999,0.000545,0.000157,0,0,0,0,0,3,5,4,6,1,1,2
59.166.0.8,37272,149.171.126.1,25,tcp,FIN,0.45685,37168,3380,31,29,18,8,smtp,638353.9375,57787.01953,52,42,255,255,1320040338,3466479374,715,80,0,0,768.002557,25.407016,1421930505,1421930506,8.930725,11.129292999999999,0.000671,0.000544,0.000127,0,0,0,0,0,1,1,3,2,1,1,1
59.166.0.1,2047,149.171.126.5,53,udp,CON,0.0010810000000000001,146,178,31,29,0,0,dns,540240.5625,658649.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421944186,1421944186,0.004,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,1,3,1,3,1,1,1
175.45.176.0,2048,149.171.126.11,1812,udp,INT,4.731193,3808,0,254,0,0,0,radius,5634.09668,0.0,8,0,0,0,0,0,476,0,0,0,788.376437,0.0,1421928230,1421928234,675.884688,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,1,1,1,1
59.166.0.8,22846,149.171.126.7,80,tcp,FIN,1.115141,1684,10168,31,29,3,5,http,11220.10547,68898.90625,14,18,255,255,551834357,552846114,120,565,1,3924,8909.064581999999,7800.817139,1421929255,1421929256,85.750998,65.561176,0.000733,0.000598,0.000135,0,0,1,0,0,2,1,1,1,1,1,1
59.166.0.4,56333,149.171.126.0,53,udp,CON,0.0011380000000000001,146,178,31,29,0,0,dns,513181.0,625659.0,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421940344,1421940344,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,4,6,3,1,1,1,1
175.45.176.0,5529,149.171.126.19,21,tcp,FIN,0.779871,1890,1316,254,252,6,6,-,18310.7207,12658.50391,18,16,255,255,280421902,2670954029,105,82,0,0,2309.9330210000003,57.39116,1421932400,1421932401,43.497294000000004,50.732668,0.038541000000000006,0.018879,0.019662,0,1,0,0,0,2,2,1,1,1,1,1
59.166.0.4,37747,149.171.126.0,15045,udp,CON,0.037087,544,304,31,29,0,0,-,88009.27344,49181.65234,4,4,0,0,0,0,136,76,0,0,9.418428,11.271989,1421929769,1421929769,6.666333,7.974,0.0,0.0,0.0,0,0,0,0,0,13,5,7,6,1,1,3
59.166.0.4,58945,149.171.126.3,65185,tcp,FIN,0.0436,2438,19420,31,29,7,13,-,435596.3125,3474312.0,38,40,255,255,2236535762,2319287440,64,486,0,0,70.743038,68.948311,1421949352,1421949352,1.169378,1.104974,0.000634,0.0005009999999999999,0.000133,0,0,0,0,0,3,5,3,2,1,1,1
59.166.0.5,62309,149.171.126.3,42130,tcp,FIN,0.059092,528,8824,31,29,1,4,-,64441.88672,1095105.875,10,12,255,255,3137002041,1255619029,53,735,0,0,609.182813,534.756393,1421955649,1421955649,6.527889,5.324182,0.000663,0.000523,0.00014,0,0,0,0,0,17,11,4,3,1,1,2
59.166.0.2,4646,149.171.126.6,5190,tcp,FIN,0.008803,1920,4312,31,29,6,6,-,1665795.75,3755992.5,22,24,255,255,2139489582,4289400397,87,180,0,0,31.603548999999997,23.956779,1421942426,1421942426,0.39981,0.35513,0.000779,0.000624,0.000155,0,0,0,0,0,2,3,2,2,1,1,1
59.166.0.5,2458,149.171.126.8,53492,tcp,FIN,0.071296,3806,53914,31,29,7,26,-,420444.3438,5958034.0,64,66,255,255,3678370988,3674513280,59,817,0,0,69.609436,67.92403900000001,1421938441,1421938441,1.1254600000000001,1.0872620000000002,0.000769,0.0006129999999999999,0.000156,0,0,0,0,0,5,8,1,1,1,1,1
59.166.0.9,62889,149.171.126.7,53,udp,CON,0.001008,130,162,31,29,0,0,dns,515873.0313,642857.125,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421946842,1421946842,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,2,3,2,4,1,1,1
59.166.0.1,35631,149.171.126.7,111,udp,CON,0.004998,568,312,31,29,0,0,-,681872.75,374549.8438,4,4,0,0,0,0,142,78,0,0,1.770833,1.628231,1421938125,1421938125,1.259667,1.159333,0.0,0.0,0.0,0,0,0,0,0,9,5,6,4,1,1,3
59.166.0.7,54948,149.171.126.6,53,udp,CON,0.001111,132,164,31,29,0,0,dns,475247.5313,590459.0625,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421930278,1421930278,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,3,3,2,7,1,1,1
59.166.0.3,9338,149.171.126.4,80,tcp,FIN,1.166823,1684,10168,31,29,3,5,http,10723.13379,65847.17188,14,18,255,255,1989189253,4197413557,120,565,1,3924,8840.678170000001,7758.468122,1421930321,1421930322,89.729228,68.60770600000001,0.000611,0.000489,0.000122,0,0,1,0,0,1,4,2,1,1,1,1
59.166.0.2,6370,149.171.126.7,80,tcp,FIN,1.008964,1684,10168,31,29,3,5,-,12400.83984,76149.39844,14,18,255,255,832049883,833250466,120,565,2,192,8774.952165,7683.614901000001,1421945172,1421945173,77.58807900000001,59.30494100000001,0.0009660000000000001,0.000775,0.00019099999999999998,0,0,6,0,0,12,7,10,6,5,5,5
59.166.0.2,7473,149.171.126.1,53,udp,CON,0.001139,146,178,31,29,0,0,dns,512730.4375,625109.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421939696,1421939696,0.006999999999999999,0.01,0.0,0.0,0.0,0,0,0,0,0,2,2,1,1,1,1,1
59.166.0.0,16619,149.171.126.8,15290,tcp,FIN,0.30396799999999996,4288,2976,31,29,7,7,-,108537.7344,75534.26563,26,28,255,255,2111257477,4264045664,165,106,0,0,709.93025,18.318953,1421932414,1421932415,12.145760000000001,11.236444,0.000705,0.00058,0.000125,0,0,0,0,0,13,11,2,4,1,1,1
59.166.0.3,61477,149.171.126.5,143,tcp,FIN,0.783806,7816,15296,31,29,30,32,-,79121.61719,154885.2656,122,126,255,255,2991543727,2992581976,64,121,0,0,438.272983,434.370648,1421941693,1421941694,6.474711,6.266456,0.0006360000000000001,0.0004940000000000001,0.00014199999999999998,0,0,0,0,0,12,4,2,5,1,1,1
59.166.0.9,46947,149.171.126.4,33616,tcp,FIN,0.012529,2438,19420,31,29,7,13,-,1515843.25,12090351.0,38,40,255,255,4213212415,2080369341,64,486,0,0,0.0,17.886654999999998,1421948804,1421948804,0.32962199999999997,0.307026,0.000705,0.000552,0.000153,0,0,0,0,0,5,2,7,2,1,1,1
59.166.0.8,62179,149.171.126.6,60086,tcp,CON,0.08329500000000001,1880,47382,31,29,1,16,-,175568.75,4427828.5,36,37,255,255,1805932708,1825450824,52,1281,0,0,133.693452,132.38102,1421952590,1421952590,2.379857,2.293195,0.00048499999999999997,0.00048499999999999997,0.0,0,0,0,0,0,4,4,4,5,1,1,3
59.166.0.8,7647,149.171.126.9,6024,tcp,FIN,0.278971,4816,2872,31,29,7,7,-,132372.1875,79205.36719,24,26,255,255,614635521,2767432086,201,110,0,0,840.471224,22.775287,1421953397,1421953397,12.115043,11.13712,0.000688,0.000535,0.000153,0,0,0,0,0,6,10,5,3,1,1,3
59.166.0.1,38182,149.171.126.9,53,udp,CON,0.001134,146,178,31,29,0,0,dns,514991.1875,627865.9375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421944258,1421944258,0.009000000000000001,0.01,0.0,0.0,0.0,0,0,0,0,0,3,3,1,2,1,1,1
59.166.0.2,14801,149.171.126.4,1616,tcp,FIN,0.060652,4222,61786,31,29,7,30,-,549231.6875,8039570.0,72,74,255,255,634760339,635047530,59,835,0,0,58.517959999999995,56.566724,1421945218,1421945218,0.849282,0.833931,0.0007599999999999999,0.000602,0.00015800000000000002,0,0,0,0,0,23,6,8,22,3,3,6
59.166.0.2,16877,149.171.126.3,37365,tcp,FIN,0.083088,2958,32368,31,29,7,18,-,278933.1563,3054207.5,48,50,255,255,137409735,137669911,62,647,0,0,0.0,121.631352,1421935947,1421935948,1.7609150000000002,1.683776,0.000736,0.000579,0.000157,0,0,0,0,0,2,10,2,2,1,1,1
59.166.0.3,48043,149.171.126.5,53,udp,CON,0.0010689999999999999,130,162,31,29,0,0,-,486435.9375,606174.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421933304,1421933304,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,11,12,3,1,1,1,1
59.166.0.2,10713,149.171.126.6,18033,tcp,FIN,0.006770999999999999,424,8824,31,29,1,4,-,438339.9688,9557229.0,8,12,255,255,734504099,741875221,53,735,0,0,56.548215,31.515251,1421945161,1421945161,0.919286,0.572818,0.0006,0.000466,0.000134,0,0,0,0,0,13,19,18,16,3,3,14
59.166.0.2,24938,149.171.126.6,25,tcp,FIN,0.362098,37408,3276,31,29,18,8,-,810587.1875,70588.625,52,40,255,255,3491617566,1347265671,719,82,0,0,796.221612,27.375037,1421934597,1421934597,7.092528999999999,9.270128,0.000698,0.000557,0.00014099999999999998,0,0,0,0,0,7,11,5,3,1,1,1
59.166.0.0,42660,149.171.126.6,8716,tcp,FIN,0.013056,2230,13288,31,29,7,11,-,1326593.125,7916054.0,34,36,255,255,1038192426,3183815560,66,369,0,0,30.958334999999998,29.927177,1421936121,1421936121,0.38266700000000003,0.35857100000000003,0.000977,0.000499,0.000478,0,0,0,0,0,6,11,5,3,1,1,2
59.166.0.3,36792,149.171.126.1,18327,udp,CON,0.117048,528,304,31,29,0,0,-,27065.81836,15583.34961,4,4,0,0,0,0,132,76,0,0,37.214559,43.842508,1421951842,1421951842,26.325666,31.008334,0.0,0.0,0.0,0,0,0,0,0,6,4,2,4,1,1,2
59.166.0.4,53285,149.171.126.2,26996,udp,CON,0.0016539999999999999,520,304,31,29,0,0,-,1886336.125,1102781.125,4,4,0,0,0,0,130,76,0,0,0.597741,0.266816,1421928113,1421928113,0.426667,0.192667,0.0,0.0,0.0,0,0,0,0,0,8,8,4,3,1,1,3
59.166.0.6,16849,149.171.126.4,53,udp,CON,0.001042,130,162,31,29,0,0,dns,499040.3125,621881.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421942688,1421942688,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,4,2,3,5,1,1,1
59.166.0.6,55133,149.171.126.7,53,udp,CON,0.001023,146,178,31,29,0,0,dns,570870.0,695992.1875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421929151,1421929151,0.006,0.008,0.0,0.0,0.0,0,0,0,0,0,2,1,3,2,1,1,1
59.166.0.1,41988,149.171.126.5,53,udp,CON,0.00105,146,178,31,29,0,0,dns,556190.5,678095.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421942208,1421942208,0.011000000000000001,0.003,0.0,0.0,0.0,0,0,0,0,0,3,1,5,2,2,1,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,1e-05,114,0,254,0,0,0,dns,45600000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933154,1421933154,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,4,4,4,4,4,4,4
59.166.0.7,55670,149.171.126.8,53,udp,CON,0.001108,146,178,31,29,0,0,dns,527075.8125,642599.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421937162,1421937162,0.011000000000000001,0.032,0.0,0.0,0.0,0,0,0,0,0,4,1,3,7,3,1,2
59.166.0.3,19872,149.171.126.9,25,tcp,FIN,0.032076,13470,2410,31,29,8,6,smtp,3254769.75,578875.125,32,27,255,255,2769471374,625116775,421,89,0,0,95.547903,2.8762220000000003,1421937409,1421937409,1.022484,1.212731,0.000665,0.000541,0.000124,0,0,0,0,0,2,3,3,3,1,1,1
59.166.0.0,35398,149.171.126.5,41627,tcp,FIN,0.08569600000000001,3390,40986,31,29,7,22,-,310866.3438,3760269.0,56,58,255,255,1384460347,3547619608,61,707,0,0,85.99271800000001,84.606645,1421933115,1421933115,1.552345,1.4941229999999999,0.0006490000000000001,0.000528,0.000121,0,0,0,0,0,10,7,1,2,1,1,1
59.166.0.8,55389,149.171.126.7,25341,tcp,FIN,0.048985,4238,61854,31,29,7,30,-,682657.9375,9965336.0,72,74,255,255,2355418906,2355743789,59,836,0,0,41.21428,39.63545,1421944906,1421944906,0.685268,0.662589,0.000729,0.000605,0.000124,0,0,0,0,0,19,10,10,15,4,4,4
59.166.0.5,9630,149.171.126.0,8367,tcp,FIN,0.02201,3614,44406,31,29,7,24,-,1291776.5,15880054.0,60,62,255,255,3212581069,3208653583,60,716,0,0,0.0,19.492839,1421936625,1421936625,0.367508,0.35141,0.000705,0.00057,0.000135,0,0,0,0,0,5,7,1,4,1,1,1
59.166.0.8,23470,149.171.126.1,53,udp,CON,0.001123,146,178,31,29,0,0,dns,520035.5938,634016.0,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421940549,1421940549,0.01,0.012,0.0,0.0,0.0,0,0,0,0,0,4,2,2,1,1,1,1
59.166.0.9,14291,149.171.126.6,12427,tcp,FIN,0.21983699999999998,3390,43544,31,29,7,22,-,121180.6953,1557299.25,56,58,255,255,84783547,2414217256,61,751,0,0,242.477905,237.659638,1421932089,1421932090,3.990873,3.846053,0.000785,0.000608,0.000177,0,0,0,0,0,4,5,2,2,1,1,1
59.166.0.7,62156,149.171.126.8,60975,tcp,FIN,0.014043,2646,24330,31,29,7,15,-,1471480.5,13545824.0,42,44,255,255,44880251,2190610012,63,553,0,0,19.885835,18.571856,1421941960,1421941960,0.3429,0.311465,0.0007769999999999999,0.0006389999999999999,0.000138,0,0,0,0,0,2,5,6,2,1,1,2
