srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
59.166.0.4,64720,149.171.126.3,53,udp,CON,0.001083,146,178,31,29,0,0,-,539242.875,657433.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421932607,1421932607,0.004,0.008,0.0,0.0,0.0,0,0,0,0,0,10,8,2,3,1,1,1
59.166.0.2,26044,149.171.126.5,19426,tcp,FIN,0.036305000000000004,4014,58418,31,29,7,28,-,871505.3125,12688941.0,68,70,255,255,452548694,452866577,59,835,0,0,30.749928999999998,30.986482000000002,1421938715,1421938715,0.536582,0.516899,0.000788,0.000628,0.00016,0,0,0,0,0,8,9,4,2,1,1,1
59.166.0.9,15110,149.171.126.2,25,tcp,FIN,0.027418,37210,3380,31,29,18,8,smtp,10648479.0,962871.0625,52,42,255,255,3016078519,3017095943,716,80,0,0,30.904448,1.2313020000000001,1421929553,1421929553,0.530157,0.655415,0.000714,0.000542,0.000172,0,0,0,0,0,1,1,2,2,1,1,1
59.166.0.3,45937,149.171.126.2,53,udp,CON,0.001062,146,178,31,29,0,0,-,549905.8125,670433.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421934471,1421934471,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,9,11,3,2,2,1,1
59.166.0.8,35104,149.171.126.2,6881,tcp,FIN,0.303721,1540,1644,31,29,4,4,-,38034.90625,40905.96094,16,18,255,255,1174351852,3359326335,96,91,0,0,1334.287494,36.57275,1421928164,1421928165,20.227199,17.739766,0.002329,0.002135,0.000194,0,0,0,0,0,11,10,6,9,5,1,5
59.166.0.5,39830,149.171.126.0,25,tcp,FIN,0.022688999999999997,37262,3276,31,29,18,8,smtp,12885892.0,1126537.125,52,40,255,255,2021269853,2022364031,717,82,0,0,24.659689,1.1475469999999999,1421946098,1421946098,0.438039,0.568462,0.000651,0.000513,0.000138,0,0,0,0,0,2,1,4,5,2,1,1
59.166.0.8,29588,149.171.126.3,56416,tcp,FIN,0.014372,2750,27730,31,29,7,16,-,1496242.75,15100474.0,44,46,255,255,716695353,717004400,63,603,0,0,18.344209,17.526323,1421947284,1421947284,0.325047,0.30506700000000003,0.000792,0.000633,0.00015900000000000002,0,0,0,0,0,3,12,1,2,1,1,1
59.166.0.2,22636,149.171.126.3,53,udp,CON,0.001075,130,162,31,29,0,0,dns,483720.9063,602790.6875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421950838,1421950838,0.012,0.008,0.0,0.0,0.0,0,0,0,0,0,3,4,7,3,2,1,3
59.166.0.2,34508,149.171.126.4,53,udp,CON,0.001067,146,178,31,29,0,0,dns,547329.0,667291.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421939950,1421939950,0.006999999999999999,0.003,0.0,0.0,0.0,0,0,0,0,0,4,1,7,5,2,1,1
59.166.0.1,3572,149.171.126.0,46084,tcp,FIN,0.151071,4336,2664,31,29,7,7,-,218175.5625,134665.1563,20,22,255,255,2642806825,500572120,217,121,0,0,743.737033,21.014275,1421935948,1421935948,7.9336850000000005,7.167428999999999,0.0007070000000000001,0.000551,0.000156,0,0,0,0,0,9,7,3,4,1,1,3
59.166.0.7,11471,149.171.126.6,5190,tcp,FIN,0.004442,1036,2262,31,29,4,4,-,1710941.125,3735254.5,12,12,255,255,2532054292,382800660,86,189,0,0,18.524876000000003,0.412987,1421944717,1421944717,0.369818,0.34681799999999996,0.0007599999999999999,0.000593,0.000167,0,0,0,0,0,10,7,2,3,1,1,1
59.166.0.4,41145,149.171.126.7,25,tcp,FIN,0.024722,37288,3380,31,29,18,8,smtp,11834317.0,1067874.75,52,42,255,255,697738930,2844282903,717,80,0,0,29.695852000000002,0.9580219999999999,1421945322,1421945322,0.47796099999999997,0.588951,0.000705,0.000571,0.000134,0,0,0,0,0,1,1,14,19,5,5,5
59.166.0.5,41997,149.171.126.3,53,udp,CON,0.001149,130,162,31,29,0,0,dns,452567.4375,563968.6875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421938746,1421938746,0.01,0.002,0.0,0.0,0.0,0,0,0,0,0,6,3,1,2,1,1,1
59.166.0.9,42342,149.171.126.6,9587,tcp,FIN,0.404802,320,1828,31,29,1,2,ftp-data,5276.653809,31620.398439999997,6,8,255,255,2339640350,327728708,53,229,0,0,5711.0460490000005,141.203891,1421935980,1421935980,80.8998,57.760715000000005,0.000611,0.00047300000000000006,0.000138,0,0,0,0,0,1,1,2,3,1,1,2
59.166.0.2,47041,149.171.126.7,51859,tcp,FIN,0.041984,2854,31360,31,29,7,17,-,532012.1875,5851181.5,46,48,255,255,3097493414,3101994354,62,653,0,0,63.030060999999996,61.145026,1421933694,1421933694,0.925644,0.8797229999999999,0.000797,0.0006259999999999999,0.000171,0,0,0,0,0,9,13,5,4,1,1,1
59.166.0.5,63225,149.171.126.7,6881,tcp,FIN,5.605601999999999,24536,1094788,31,29,38,390,-,34936.48047,1560600.375,436,858,255,255,2431501774,2433110238,56,1276,0,0,4973.443310000001,3542.889514,1421941857,1421941863,12.885701,6.540399,0.000603,0.00047400000000000003,0.000129,0,0,0,0,0,12,9,4,6,2,1,2
59.166.0.4,3951,149.171.126.2,53,udp,CON,0.00099,146,178,31,29,0,0,dns,589899.0,719191.9375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421947930,1421947930,0.011000000000000001,0.002,0.0,0.0,0.0,0,0,0,0,0,4,5,3,10,2,1,2
59.166.0.5,58573,149.171.126.1,25,tcp,FIN,0.031462000000000004,37460,3172,31,29,18,8,smtp,9342064.0,785455.5,52,38,255,255,1660244452,1661349160,720,83,0,0,36.897488,1.811652,1421950249,1421950249,0.610078,0.8349190000000001,0.0007,0.0005650000000000001,0.000135,0,0,0,0,0,2,1,3,7,2,1,2
59.166.0.2,44474,149.171.126.4,57638,tcp,FIN,0.024881,3806,51314,31,29,7,26,-,1204774.75,16249186.0,64,66,255,255,968526747,968831997,59,777,0,0,21.193866,20.764435,1421927985,1421927985,0.389714,0.373323,0.000771,0.000604,0.000167,0,0,0,0,0,5,2,2,5,1,1,1
59.166.0.8,38007,149.171.126.2,8337,tcp,FIN,0.117324,3926,58386,31,29,7,27,-,263680.0625,3922675.5,66,68,255,255,1031217710,1068699885,59,859,0,0,93.649989,92.149649,1421940065,1421940065,1.799754,1.7418959999999999,0.0007769999999999999,0.00061,0.000167,0,0,0,0,0,10,3,1,4,1,1,1
59.166.0.0,19025,149.171.126.1,80,tcp,FIN,1.006261,1580,10168,31,29,3,5,http,11519.874020000001,76353.94531,12,18,255,255,741753917,2892362225,132,565,1,3924,9530.128420000001,7676.112993000001,1421953862,1421953863,91.42254399999999,59.161,0.000657,0.0005200000000000001,0.00013700000000000002,0,0,1,0,0,4,1,2,2,1,1,1
59.166.0.0,24260,149.171.126.1,62775,tcp,FIN,0.033031,2646,24330,31,29,7,15,-,625594.125,5758953.5,42,44,255,255,2638500525,493429691,63,553,0,0,58.88949,57.21184,1421941575,1421941575,0.797244,0.753628,0.000741,0.000615,0.000126,0,0,0,0,0,10,5,2,2,1,1,1
59.166.0.3,9460,149.171.126.2,3211,udp,CON,0.036068,528,304,31,29,0,0,-,87834.09375,50571.14453,4,4,0,0,0,0,132,76,0,0,9.430684,10.814256,1421937926,1421937926,6.6770000000000005,7.6523330000000005,0.0,0.0,0.0,0,0,0,0,0,11,8,6,4,1,1,3
10.40.182.1,0,224.0.0.5,0,ospf,REQ,50.004459000000004,384,0,1,0,0,0,-,51.195434999999996,0.0,6,0,0,0,0,0,64,0,0,0,4.082844000000001,0.0,1421927917,1421927967,10000.888,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,4,2,2,4,2
59.166.0.8,60982,149.171.126.0,18889,tcp,FIN,0.018955,2750,26584,31,29,7,16,-,1134476.375,10976312.0,44,46,255,255,3596539130,1451473476,63,578,0,0,26.367966999999997,27.018866999999997,1421941147,1421941147,0.43327899999999997,0.40744400000000003,0.00075,0.00061,0.00014,0,0,0,0,0,8,12,1,2,1,1,1
59.166.0.1,21510,149.171.126.3,19241,tcp,FIN,0.0258,3598,48918,31,29,7,24,-,1097364.25,14923720.0,60,62,255,255,3754708452,3782585153,60,789,0,0,0.0,23.881744,1421930349,1421930349,0.431881,0.41485200000000005,0.000615,0.00049,0.000125,0,0,0,0,0,2,3,2,3,1,1,1
59.166.0.0,14601,149.171.126.8,6881,tcp,FIN,7.3145240000000005,26544,1218956,31,29,42,434,-,28970.304689999997,1331793.0,472,954,255,255,2811835255,2815973395,56,1278,0,0,5868.571969,4124.867164,1421940115,1421940122,15.529086999999999,7.674722,0.000624,0.00048600000000000005,0.000138,0,0,0,0,0,15,10,5,6,2,1,2
59.166.0.0,44481,149.171.126.3,80,tcp,FIN,1.064712,1684,10168,31,29,3,5,http,11751.53418,72162.23438,14,18,255,255,1916738388,1917795462,120,565,1,3924,8780.069125,7688.251909999999,1421939633,1421939634,81.874382,62.598824,0.000691,0.000525,0.000166,0,0,1,0,0,1,1,2,1,1,1,1
59.166.0.2,56977,149.171.126.2,6881,tcp,FIN,0.952018,13454,548216,31,29,21,197,-,112577.7031,4596257.5,234,438,255,255,1483173223,3633159085,57,1252,0,0,1248.233608,911.141125,1421937210,1421937211,4.084575,2.177485,0.000594,0.000454,0.00014,0,0,0,0,0,9,10,4,5,2,1,2
59.166.0.3,39758,149.171.126.6,6881,tcp,FIN,0.248867,1540,1644,31,29,4,4,-,46418.36719,49922.24609,16,18,255,255,2106696235,4279342356,96,91,0,0,1027.4242789999998,28.560847999999996,1421935793,1421935794,16.570466,14.610353,0.0006190000000000001,0.00048499999999999997,0.000134,0,0,0,0,0,5,9,6,4,4,1,4
59.166.0.4,37701,149.171.126.7,80,tcp,FIN,1.1536680000000001,1684,10168,31,29,3,5,http,10845.407229999999,66598.01563,14,18,255,255,3942889752,1798543209,120,565,1,3924,8848.008722,7749.583087999999,1421943631,1421943632,88.714772,67.834824,0.000604,0.000472,0.000132,0,0,1,0,0,1,1,3,2,1,1,2
59.166.0.0,49424,149.171.126.8,21,tcp,FIN,0.608342,2934,3740,31,29,11,15,ftp,37847.13281,48275.47656,52,54,255,255,2602338036,2607570136,56,69,0,0,1240.0626539999998,48.768738,1421934753,1421934753,11.922373,11.467868,0.000684,0.000539,0.000145,0,0,0,1,1,1,1,4,6,1,1,3
59.166.0.5,53351,149.171.126.3,5190,tcp,FIN,0.006185,1064,2260,31,29,4,4,-,1262409.125,2680032.5,12,12,255,255,2340712282,2341918306,89,188,0,0,28.913460999999998,0.45318500000000006,1421948077,1421948077,0.529091,0.36736399999999997,0.002353,0.002134,0.00021899999999999998,0,0,0,0,0,2,5,3,1,1,1,1
59.166.0.1,48692,149.171.126.6,22,tcp,FIN,0.794917,14512,17238,31,29,22,32,ssh,144588.6875,171781.4531,100,102,255,255,1186759976,3336600496,145,169,0,0,685.551813,680.067321,1421936901,1421936902,8.029465,7.864198,0.0005639999999999999,0.000462,0.000102,0,0,0,0,0,2,1,3,3,1,1,1
59.166.0.0,49028,149.171.126.0,6881,tcp,FIN,1.34343,7462,275570,31,29,13,101,-,44078.21484,1633859.5,124,230,255,255,4266626652,4271349383,60,1198,0,0,2905.65035,2133.477529,1421945543,1421945544,10.91961,5.890162,0.000604,0.000469,0.000135,0,0,0,0,0,30,25,10,9,4,2,4
59.166.0.3,29853,149.171.126.5,25,tcp,FIN,0.371657,37252,3080,31,29,17,7,smtp,785154.0,64554.14453,48,38,255,255,4080135624,4077021963,776,81,0,0,807.34729,27.076262,1421937733,1421937733,7.899681,10.029135,0.000728,0.000575,0.000153,0,0,0,0,0,2,1,3,2,1,1,1
59.166.0.4,21127,149.171.126.1,80,tcp,FIN,1.4729370000000002,1684,10168,31,29,3,5,http,8494.592773,52162.44922,14,18,255,255,2546388038,2579245320,120,565,1,3924,9577.568976999999,8383.734047,1421943847,1421943849,113.27461799999999,86.610412,0.000712,0.000553,0.00015900000000000002,0,0,1,0,0,2,1,1,5,1,1,1
59.166.0.5,37074,149.171.126.3,13590,tcp,FIN,0.09980800000000001,3614,49036,31,29,7,24,-,284866.9375,3867104.75,60,62,255,255,2303702690,2341285124,60,791,0,0,88.949838,87.609087,1421942165,1421942165,1.6860169999999999,1.626574,0.000763,0.000583,0.00018,0,0,0,0,0,8,11,2,3,1,1,1
59.166.0.6,26164,149.171.126.2,80,tcp,FIN,1.1258540000000001,1580,10168,31,29,3,5,http,10296.18359,68243.30469,12,18,255,255,3705757693,3706877911,132,565,1,3924,10533.16725,8481.884327,1421928566,1421928567,102.315821,66.196585,0.000625,0.000505,0.00011999999999999999,0,0,1,0,0,2,3,5,4,2,1,2
59.166.0.1,56292,149.171.126.7,24569,tcp,FIN,0.019121,2438,18678,31,29,7,13,-,993253.4375,7619685.0,38,40,255,255,2262622506,130582185,64,467,0,0,0.0,34.603794,1421951778,1421951778,0.50727,0.478026,0.000599,0.00047400000000000003,0.000125,0,0,0,0,0,7,3,3,3,1,1,1
59.166.0.3,40559,149.171.126.6,9194,tcp,FIN,0.046087,2958,30654,31,29,7,17,-,502875.0,5210319.5,48,48,255,255,457877215,2607775981,62,639,0,0,60.962644,1.673657,1421939334,1421939334,0.973404,0.9682129999999999,0.000699,0.000573,0.000126,0,0,0,0,0,4,2,2,3,1,1,2
59.166.0.3,53622,149.171.126.9,80,tcp,FIN,48.416592,18370,1087890,31,29,2,370,-,3026.565674,179514.0,344,746,255,255,3126458110,3129175121,53,1458,1,524288,9665.883189,6492.661981,1421955355,1421955404,141.155316,64.988063,0.000609,0.00047699999999999994,0.000132,0,0,1,0,0,10,18,5,1,1,1,1
59.166.0.9,46993,149.171.126.4,3985,tcp,FIN,0.029945,3406,37798,31,29,7,21,-,893905.5,9917916.0,56,56,255,255,3331751614,1186686539,61,675,0,0,33.272164000000004,0.891332,1421936815,1421936815,0.538582,0.533927,0.000718,0.000567,0.000151,0,0,0,0,0,15,6,3,8,1,1,1
59.166.0.8,58383,149.171.126.3,59206,tcp,FIN,0.039955000000000004,3926,53634,31,29,7,27,-,774271.0,10581103.0,66,68,255,255,3617671947,3617959033,59,789,0,0,35.314684,34.894162,1421954157,1421954157,0.609815,0.587358,0.0007509999999999999,0.000593,0.00015800000000000002,0,0,0,0,0,10,10,2,5,1,1,2
59.166.0.6,25490,149.171.126.9,62151,tcp,FIN,0.007417,4432,2456,31,29,7,7,-,4515033.0,2502359.5,18,18,255,255,3839974926,3838864097,246,136,0,0,22.936122,0.552868,1421947547,1421947547,0.417588,0.35288200000000003,0.001536,0.001411,0.000125,0,0,0,0,0,6,7,4,6,1,1,3
175.45.176.1,0,149.171.126.12,0,netblt,INT,1.2e-05,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930672,1421930672,0.011000000000000001,0.0,0.0,0.0,0.0,0,2,0,0,0,22,17,4,4,4,4,4
59.166.0.2,32039,149.171.126.4,25,tcp,FIN,0.5007020000000001,37574,3276,31,29,18,8,smtp,588805.3125,51048.32422,52,40,255,255,3255400078,1111098373,723,82,0,0,902.65541,30.269832,1421941443,1421941444,9.80998,12.824154,0.000733,0.0005549999999999999,0.000178,0,0,0,0,0,1,1,4,6,1,1,4
59.166.0.2,54018,149.171.126.5,52385,tcp,FIN,0.048025,3598,48710,31,29,7,24,-,589526.25,7983342.0,60,62,255,255,4136989330,4137255905,60,786,0,0,49.315552000000004,50.689871000000004,1421929755,1421929755,0.8086270000000001,0.7782789999999999,0.0006799999999999999,0.000542,0.000138,0,0,0,0,0,5,11,3,4,1,1,1
59.166.0.3,56625,149.171.126.7,5190,tcp,FIN,0.008106,2152,2410,31,29,6,7,-,2042931.25,2287688.25,26,26,255,255,3724796911,1579722178,83,93,0,0,17.685119,20.179976999999997,1421928727,1421928727,0.2906,0.3024,0.000677,0.000536,0.00014099999999999998,0,0,0,0,0,7,5,1,3,1,1,1
59.166.0.0,62747,149.171.126.2,53,udp,CON,0.001027,130,162,31,29,0,0,dns,506329.0938,630963.9375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421937065,1421937065,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,3,2,8,2,1,1,1
59.166.0.5,21163,149.171.126.3,111,udp,CON,0.005147,568,304,31,29,0,0,-,662133.3125,354381.2188,4,4,0,0,0,0,142,76,0,0,1.628233,1.7383060000000001,1421931131,1421931131,1.159333,1.234667,0.0,0.0,0.0,0,0,0,0,0,6,5,4,7,1,1,3
59.166.0.7,16332,149.171.126.0,15125,tcp,FIN,0.5885630000000001,4584,3080,31,29,7,7,-,60092.12109,40478.24609,28,30,255,255,551402064,2723217443,164,103,0,0,1299.9939060000002,33.990313,1421936821,1421936822,21.781297,20.274518,0.0007019999999999999,0.000596,0.000106,0,0,0,0,0,7,5,3,1,1,1,1
175.45.176.2,51989,149.171.126.13,179,tcp,FIN,1.13235,2530,354,254,252,2,1,-,16086.89941,2190.1357420000004,10,8,255,255,4121144760,666319292,253,44,0,0,6649.487189,262.389781,1421927973,1421927974,122.65911100000001,147.594422,0.17410499999999998,0.099188,0.074917,0,1,0,0,0,2,3,1,1,1,1,1
59.166.0.8,17530,149.171.126.1,24325,tcp,FIN,0.002986,320,1898,31,29,1,2,ftp-data,715338.25,4450100.5,6,8,255,255,1214463768,3367949679,53,237,0,0,29.171971999999997,0.542587,1421952814,1421952814,0.5254,0.351143,0.000657,0.000524,0.000133,0,0,0,0,0,1,1,2,3,1,1,1
59.166.0.2,7620,149.171.126.0,46128,tcp,FIN,0.0326,2646,24694,31,29,7,15,-,633865.0,5922208.5,42,44,255,255,3312715574,1163452769,63,561,0,0,52.080981,48.601017,1421947052,1421947052,0.7863899999999999,0.744791,0.000705,0.000563,0.00014199999999999998,0,0,0,0,0,10,7,2,3,1,1,1
149.171.126.7,6881,59.166.0.1,11240,tcp,FIN,4.026203,59766,1420,29,31,21,2,-,116633.9531,2714.219727,56,26,255,255,89868375,2227906513,1067,55,0,0,16690.96393,5.881825,1421937064,1421937068,73.203692,4.37556,0.0,0.0,0.0,0,0,0,0,0,2,3,2,2,1,2,2
59.166.0.2,7624,149.171.126.4,53,udp,CON,0.002362,130,162,31,29,0,0,dns,220152.4063,274343.7813,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421946983,1421946983,0.01,0.003,0.0,0.0,0.0,0,0,0,0,0,3,1,3,2,2,1,1
59.166.0.4,48746,149.171.126.8,80,tcp,FIN,0.0039310000000000005,1028,824,31,29,2,2,http,1831595.0,1510048.375,8,10,255,255,1442417766,1443455540,129,82,1,83,31.810028999999997,0.686004,1421937592,1421937592,0.508286,0.381889,0.000661,0.00049,0.000171,0,0,1,0,0,2,2,2,4,1,1,1
59.166.0.2,20923,149.171.126.5,48047,tcp,FIN,1.4854040000000002,320,1856,31,29,1,2,ftp-data,1437.992554,8746.442383,6,8,255,255,3151842435,2206797931,53,232,0,0,20990.642969999997,519.261,1421952705,1421952707,297.0168,212.13257799999997,0.0006490000000000001,0.00047300000000000006,0.000176,0,0,0,0,0,4,2,2,2,1,1,1
59.166.0.8,5563,149.171.126.1,111,udp,CON,0.004793,568,320,31,29,0,0,-,711036.9375,400584.1875,4,4,0,0,0,0,142,80,0,0,1.7434919999999998,1.518865,1421951082,1421951082,1.239333,1.083,0.0,0.0,0.0,0,0,0,0,0,11,11,5,5,1,1,4
59.166.0.6,3408,149.171.126.8,53,udp,CON,0.001149,146,178,31,29,0,0,dns,508268.0625,619669.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421936892,1421936892,0.006999999999999999,0.002,0.0,0.0,0.0,0,0,0,0,0,3,2,4,4,3,1,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933216,1421933216,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,4,4,5,6,4,4,4
59.166.0.5,9163,149.171.126.4,52579,tcp,FIN,0.22239299999999998,424,8824,31,29,1,4,-,13345.74316,290980.375,8,12,255,255,1923784296,4139904015,53,735,0,0,2107.310219,1673.658881,1421945006,1421945006,31.723001,20.173091,0.0006259999999999999,0.00048300000000000003,0.000143,0,0,0,0,0,9,7,6,7,2,2,5
59.166.0.7,8400,149.171.126.5,46358,udp,CON,0.0016579999999999998,528,304,31,29,0,0,-,1910735.75,1100120.625,4,4,0,0,0,0,132,76,0,0,0.593735,0.291566,1421939205,1421939205,0.425333,0.20966700000000002,0.0,0.0,0.0,0,0,0,0,0,8,13,6,3,1,1,3
59.166.0.9,62364,149.171.126.2,53,udp,CON,0.0010019999999999999,146,178,31,29,0,0,dns,582834.375,710578.875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421936242,1421936242,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,4,2,1,4,1,1,1
59.166.0.9,1074,149.171.126.5,18072,tcp,FIN,0.573395,4696,3080,31,29,7,7,-,63188.55078,41549.01953,28,30,255,255,3125364440,1081392220,168,103,0,0,1199.546429,30.577756,1421950191,1421950191,21.224407,19.751932,0.000779,0.000585,0.000194,0,0,0,0,0,6,13,6,4,1,1,4
59.166.0.9,53629,149.171.126.1,30035,tcp,FIN,0.055241,2854,29218,31,29,7,17,-,404337.3438,4143299.25,46,48,255,255,191919941,238809271,62,609,0,0,106.317835,104.446639,1421945143,1421945143,1.220644,1.1624889999999999,0.000729,0.000598,0.000131,0,0,0,0,0,21,15,17,24,4,4,13
59.166.0.6,47166,149.171.126.8,50919,tcp,FIN,0.152284,2958,32368,31,29,7,18,-,152189.3281,1666412.75,48,50,255,255,3792730036,1647625328,62,647,0,0,191.373197,187.25608799999998,1421935936,1421935936,3.233298,3.096714,0.000664,0.000534,0.00013000000000000002,0,0,0,0,0,7,4,2,3,1,1,1
59.166.0.2,61241,149.171.126.4,55864,tcp,FIN,0.017921,2974,31920,31,29,7,18,-,1300373.75,13964399.0,48,50,255,255,244274979,2394163179,62,638,0,0,20.329282,20.248724,1421946753,1421946753,0.37395700000000004,0.36075,0.000755,0.000594,0.000161,0,0,0,0,0,14,8,5,4,1,1,1
59.166.0.3,16609,149.171.126.9,34864,tcp,FIN,0.028506999999999998,3062,31788,31,29,7,18,-,842179.125,8742555.0,50,50,255,255,4244814525,2111197150,61,636,0,0,0.0,0.9490709999999999,1421941316,1421941316,0.574184,0.571408,0.000644,0.000504,0.00014,0,0,0,0,0,8,9,5,5,1,1,4
59.166.0.4,35902,149.171.126.2,6881,tcp,FIN,2.3321110000000003,13246,548216,31,29,21,197,-,45243.13281,1876291.625,230,438,255,255,2953132828,2964830540,58,1252,0,0,3560.7073920000003,2577.231209,1421936020,1421936022,10.182485,5.335526,0.000614,0.000482,0.000132,0,0,0,0,0,6,8,3,3,2,1,3
59.166.0.6,62160,149.171.126.7,53,udp,CON,0.001019,146,178,31,29,0,0,dns,573110.9375,698724.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421934948,1421934948,0.012,0.01,0.0,0.0,0.0,0,0,0,0,0,3,3,4,4,1,1,1
59.166.0.0,45481,149.171.126.9,5190,tcp,FIN,0.005831,1958,2308,31,29,6,6,-,2564225.75,3034814.0,22,24,255,255,3604844711,3609372342,89,96,0,0,15.880722,13.922064,1421952267,1421952267,0.260952,0.224478,0.0008320000000000001,0.0006580000000000001,0.000174,0,0,0,0,0,6,5,1,1,1,1,1
59.166.0.0,17626,149.171.126.4,53,udp,CON,0.001072,146,178,31,29,0,0,dns,544776.125,664179.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421946297,1421946297,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,8,4,4,2,1,1,2
